stride,strideInBytes,timeSeconds,iterations,iterationRatioSeconds
1,4,0.148438,67108864,452101820.631579
2,8,0.077148,33554432,434933397.063291
3,12,0.053711,22369621,416481670.981818
5,20,0.043945,13421772,305419878.400000
8,32,0.044922,8388608,186737708.521739
13,52,0.043945,5162220,117469184.000000
21,84,0.040039,3195660,79813557.073171
34,136,0.031250,1973790,63161280.000000
55,220,0.020508,1220161,59497374.476190
89,356,0.012695,754032,59394520.615385
144,576,0.006836,466033,68173970.285714
233,932,0.003906,288020,73733120.000000
377,1508,0.006836,178007,26039881.142857
610,2440,0.002930,110014,37551445.333333
987,3948,0.001953,67992,34811904.000000
1597,6388,0.000977,42021,43029504.000000
2584,10336,0.000000,25970,inf
4181,16724,0.000977,16050,16435200.000000
6765,27060,0.000000,9920,inf
10946,43784,0.000977,6130,6277120.000000
